"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2343","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:40 UTC 2025","passed","Fri Aug 15 08:03:43 UTC 2025","TestNavbar","test_navbar","",""
"","8611","Checking breadcrumb on cart page","tests.test_breadcrumb","Fri Aug 15 07:58:14 UTC 2025","passed","Fri Aug 15 07:58:23 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2715","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:15 UTC 2025","passed","Fri Aug 15 07:59:17 UTC 2025","TestChosen","test_chosen_category","",""
"","2985","Checking brands on static pages","tests.test_brands","Fri Aug 15 07:58:48 UTC 2025","passed","Fri Aug 15 07:58:51 UTC 2025","","test_brands","",""
"","891","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:04:53 UTC 2025","passed","Fri Aug 15 08:04:54 UTC 2025","TestScrollUp","test_scroll_up","",""
"","3305","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 08:00:39 UTC 2025","passed","Fri Aug 15 08:00:42 UTC 2025","TestChosen","test_chosen_category","",""
"","1314","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:40 UTC 2025","passed","Fri Aug 15 08:05:41 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2367","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:35 UTC 2025","passed","Fri Aug 15 08:02:37 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","3922","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:04 UTC 2025","passed","Fri Aug 15 08:05:08 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2225","Checking test cases page","tests.test_api_cases","Fri Aug 15 07:57:49 UTC 2025","passed","Fri Aug 15 07:57:51 UTC 2025","TestApiCases","test_api_cases","",""
"","2007","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:01:31 UTC 2025","passed","Fri Aug 15 08:01:33 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","4109","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:24 UTC 2025","passed","Fri Aug 15 08:04:28 UTC 2025","TestNavbar","test_navbar","",""
"","2972","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:01:01 UTC 2025","passed","Fri Aug 15 08:01:03 UTC 2025","TestChosen","test_chosen_category","",""
"","3329","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:41 UTC 2025","passed","Fri Aug 15 07:59:44 UTC 2025","TestChosen","test_chosen_category","",""
"","1617","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:03 UTC 2025","passed","Fri Aug 15 08:06:05 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2103","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:02:56 UTC 2025","passed","Fri Aug 15 08:02:58 UTC 2025","TestChosen","test_chosen_category","",""
"","3201","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:27 UTC 2025","passed","Fri Aug 15 08:06:30 UTC 2025","TestScrollUp","test_scroll_up","",""
